"","id","atlas_id","name","acronym","st_level","ontology_id","hemisphere_id","weight","parent_structure_id","depth","graph_id","graph_order","structure_id_path","color_hex_triplet","neuro_name_structure_id","neuro_name_structure_id_path","failed","sphinx_id","structure_name_facet","failed_facet","safe_name","col"
"10397",10397,NA,"medial nuclear complex of thalamus","MNC",NA,11,3,8660,10391,8,16,1933,"/10153/10154/10155/10156/10157/10389/10390/10391/10397/","B67BB4",NA,NA,"f",8533,810681721,734881840,"medial nuclear complex of thalamus","#B67BB4"
"10398",10398,NA,"mediodorsal nucleus of thalamus","MD",NA,11,3,8660,10397,9,16,1934,"/10153/10154/10155/10156/10157/10389/10390/10391/10397/10398/","B067A9",NA,NA,"f",8534,2181518042,734881840,"mediodorsal nucleus of thalamus","#B067A9"
"12292",12292,NA,"superior colliculus","SC",NA,11,3,8660,12291,6,16,2574,"/10153/10154/10155/10648/10649/12291/12292/","7EB3C9",NA,NA,"f",9174,3855155085,734881840,"superior colliculus","#7EB3C9"
"12595",12595,NA,"precerebellar nuclei","PrCbN",NA,11,3,8660,12538,7,16,2943,"/10153/10154/10155/10653/10654/10662/12538/12595/","727CB6",NA,NA,"f",9543,1752341279,734881840,"precerebellar nuclei","#727CB6"
"12600",12600,NA,"inferior olive","IO",NA,11,3,8660,12595,8,16,2948,"/10153/10154/10155/10653/10654/10662/12538/12595/12600/","3E4D89",NA,NA,"f",9548,4278987652,734881840,"inferior olive","#3E4D89"
"12247",12247,NA,"red nucleus","RN",NA,11,3,8660,12195,6,16,2528,"/10153/10154/10155/10648/10649/12195/12247/","6CA9BF",NA,NA,"f",9128,4171394310,734881840,"red nucleus","#6CA9BF"
"12354",12354,NA,"superior cerebellar peduncle (brachium conjunctivum)","scp",NA,11,3,8660,10650,5,16,2644,"/10153/10154/10155/10648/10650/12354/","F2F1F0",NA,NA,"f",9244,2865398570,734881840,"superior cerebellar peduncle (brachium conjunctivum)","#F2F1F0"
"10450",10450,NA,"parafascicular nucleus of thalamus","Pf",NA,11,3,8660,10448,10,16,2011,"/10153/10154/10155/10156/10157/10389/10390/10391/10442/10448/10450/","B067A9",NA,NA,"f",8611,2894790021,734881840,"parafascicular nucleus of thalamus","#B067A9"
"10468",10468,NA,"preoptic region of HTH","HTHpo",NA,11,3,8660,10467,7,16,2048,"/10153/10154/10155/10156/10157/10389/10467/10468/","DBABC8",NA,NA,"f",8648,665522786,734881840,"preoptic region of HTH","#DBABC8"
"10586",10586,NA,"mammillothalamic tract","mtt",NA,11,3,8660,10568,6,16,2204,"/10153/10154/10155/10156/10557/10568/10586/","F2F1F0",NA,NA,"f",8804,1649345323,734881840,"mammillothalamic tract","#F2F1F0"
